LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,Capacity Armada,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250101C157,AHI,1/1/2025,CDELC,A8346WX,Bogor,Jabodetabek,,,Customer,20,5.5,,6,337000,1354953,,Bogor,CDE LONG CHASSIS,Internal,JabodetabekBogorCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A052,AHI,1/1/2025,CDDLC,A8122ZH,Jakarta,Jabodetabek,,,Store,49,1.69,,1,154296,662656,,Jakarta,CDD LONG CHASSIS,Internal,JabodetabekJakartaCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A068,TGI,1/1/2025,CDELC,A8483ZH,Tangerang,Jabodetabek,,,Store,30,8.21,,3,332732,796259,,Tangerang,CDE LONG CHASSIS,Internal,JabodetabekTangerangCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A008,AHI,1/1/2025,CDDLC,A8463ZY,Tangerang,Jabodetabek,,,Store,87,11.38,,1,237368,672461,,Tangerang,CDD LONG CHASSIS,Internal,JabodetabekTangerangCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101H031,AHI,1/1/2025,CDDLC,A8629VX,Tangerang,Jabodetabek,,,HUB,31,6.41,,2,382036,819496,,Tangerang,CDD LONG CHASSIS,Internal,JabodetabekTangerangCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A032,AHI,1/1/2025,CDELC,A8358ZY,Jakarta,Jabodetabek,,,Store,83,9.87,,1,153000,928593,,Jakarta,CDE LONG CHASSIS,Internal,JabodetabekJakartaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A039,AHI,1/1/2025,CDDLC,A8493ZH,Jakarta,Jabodetabek,,,Store,61,5.98,,1,173788,682148,,Jakarta,CDD LONG CHASSIS,Internal,JabodetabekJakartaCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101A003,AHI,1/1/2025,CDDLC,A8658ZF,Jakarta,Jabodetabek,,,Store,74,8.4,,1,159740,668100,,Jakarta,CDD LONG CHASSIS,Internal,JabodetabekJakartaCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A061,AHI,1/1/2025,CDDLC,A8124ZH,Bekasi,Jabodetabek,,,Store,32,6.22,,2,36124,544484,,Bekasi,CDD LONG CHASSIS,Internal,JabodetabekBekasiCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241201A012,AHI,1/1/2025,CDDLC,A8126ZH,Tangerang,Jabodetabek,,,Store,2,0.55,,1,,375360,,Tangerang,CDD LONG CHASSIS,Internal,JabodetabekTangerangCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A007,AHI,1/1/2025,CDDLC,B9940SCF,Tangerang,Jabodetabek,,,Store,49,7.0,,1,561580,1061040,,Tangerang,CDD LONG CHASSIS,Internal,JabodetabekTangerangCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101H039,AHI,1/1/2025,CDDLC,A8986XA,Jakarta,Jabodetabek,,,HUB,11,6.52,,1,156408,595001,,Jakarta,CDD LONG CHASSIS,Internal,JabodetabekJakartaCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A049,AHI,1/1/2025,CDELC,A8370WX,Jakarta,Jabodetabek,,,Store,89,1.55,,1,124244,508404,,Jakarta,CDE,Internal,JabodetabekJakartaCDE,DALAM KOTA,,1,REGULAR,,
250101H034,AHI,1/1/2025,CDDLC,A8464ZY,Jakarta,Jabodetabek,,,HUB,12,3.87,,1,209040,644133,,Jakarta,CDD LONG CHASSIS,Internal,JabodetabekJakartaCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A040,AHI,1/1/2025,CDELC,A8916WX,Jakarta,Jabodetabek,,,Store,64,0.62,,2,164300,562460,,Jakarta,CDE LONG CHASSIS,Internal,JabodetabekJakartaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A022,AHI,1/1/2025,CDDLC,A8630VX,Depok,Jabodetabek,,,Store,58,6.19,,2,319914,757374,,Depok,CDD LONG CHASSIS,Internal,JabodetabekDepokCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A012,AHI,1/1/2025,CDDLC,A8690XY,Tangerang,Jabodetabek,,,Store,88,5.1,,4,288688,720015,,Tangerang,CDD LONG CHASSIS,Internal,JabodetabekTangerangCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231A081,FBI,1/1/2025,CDELC,A8157ZC,Jakarta,Jabodetabek,,,Store,9,2.33,,5,189500,614727,,Jakarta,CDE LONG CHASSIS,Internal,JabodetabekJakartaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
