LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250101C082,AHI,1/1/2025,CDELC,W8519QE,Surabaya,Jawa Timur,,,Customer,18,7.68,13,250000,689647,,Surabaya,CDE LONG CHASSIS,Internal,Jawa TimurSurabayaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C083,AHI,1/1/2025,PICKUP,W8656QE,Surabaya,Jawa Timur,,,Customer,11,2.9,8,126000,399780,,Surabaya,MINI VAN BOX,Internal,Jawa TimurSurabayaMINI VAN BOX,DALAM KOTA,,1,REGULAR,,
250101C084,AHI,1/1/2025,CDELC,W8555QC,Surabaya,Jawa Timur,,,Customer,32,10.0,15,168000,545347,,Surabaya,CDE LONG CHASSIS,Internal,Jawa TimurSurabayaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C085,AHI,1/1/2025,CDELC,W8890NU,Surabaya,Jawa Timur,,,Customer,18,10.0,5,127000,423380,,Surabaya,CDE LONG CHASSIS,Internal,Jawa TimurSurabayaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C086,AHI,1/1/2025,CDELC,W8894NU,Sidoarjo,Jawa Timur,,,Customer,17,5.5,11,95000,391597,,Sidoarjo,CDE LONG CHASSIS,Internal,Jawa TimurSidoarjoCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C091,HCI,1/1/2025,CDDLC,A8572ZE,Surabaya,Jawa Timur,,,Customer,5,5.99,3,148000,623580,,Surabaya,CDD LONG CHASSIS,Internal,Jawa TimurSurabayaCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C093,HCI,1/1/2025,CDELC,W8745PV,Sidoarjo,Jawa Timur,,,Customer,2,0.91,3,45000,362613,,Sidoarjo,CDE LONG CHASSIS,Internal,Jawa TimurSidoarjoCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C097,HCI,1/1/2025,CDELC,W8890NU,Sidoarjo,Jawa Timur,,,Customer,7,3.29,2,25000,321380,,Sidoarjo,CDE LONG CHASSIS,Internal,Jawa TimurSidoarjoCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C098,HCI,1/1/2025,CDELC,W8195QA,Sidoarjo,Jawa Timur,,,Customer,3,0.81,3,49000,553180,,Sidoarjo,CDE LONG CHASSIS,Internal,Jawa TimurSidoarjoCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C099,HCI,1/1/2025,CDDLC,A8653ZF,Sidoarjo,Jawa Timur,,,Customer,4,4.98,4,84000,568480,,Sidoarjo,CDD LONG CHASSIS,Internal,Jawa TimurSidoarjoCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
