LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250101C009,AHI,1/1/2025,CDELC,DD8633RG,Makassar,Sulawesi Selatan,,,Customer,24,5.49,31,420000,848311,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231C009,HCI,1/1/2025,CDELC,A8997ZD,Makassar,Sulawesi Selatan,,,Customer,17,8.54,14,179000,727678,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C003,HCI,1/1/2025,CDELC,DD8165UE,Makassar,Sulawesi Selatan,,,Customer,18,9.31,16,373000,1002378,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231C018,HCI,1/1/2025,CDELC,DD8705RM,Makassar,Sulawesi Selatan,,,Customer,5,10.0,5,,578244,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250101C010,HCI,1/1/2025,CDELC,DD8213RV,Makassar,Sulawesi Selatan,,,Customer,4,8.0,3,,512878,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,NON REGULAR,,
250101C005,HCI,1/1/2025,CDELC,DD8986RG,Gowa,Sulawesi Selatan,,,Customer,10,4.56,19,,452878,,Gowa,CDE LONG CHASSIS,Internal,Sulawesi SelatanGowaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C007,HCI,1/1/2025,CDELC,DD8634RG,Takalar,Sulawesi Selatan,,,Customer,11,10.0,9,164628,719972,,Takalar,CDE LONG CHASSIS,Internal,Sulawesi SelatanTakalarCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231C022,HCI,1/1/2025,CDELC,DD8173RV,Makassar,Sulawesi Selatan,,,Customer,4,8.0,3,,431861,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,NON REGULAR,,
241231C026,HCI,1/1/2025,PICKUP,DD8797SZ,Makassar,Sulawesi Selatan,,,Customer,9,3.0,7,4000,413044,,Makassar,MINI VAN BOX,Internal,Sulawesi SelatanMakassarMINI VAN BOX,DALAM KOTA,,1,NON REGULAR,,
250101C006,HCI,1/1/2025,PICKUP,DD8797SZ,Makassar,Sulawesi Selatan,,,Customer,5,3.0,4,4000,413044,,Makassar,MINI VAN BOX,Internal,Sulawesi SelatanMakassarMINI VAN BOX,DALAM KOTA,,1,REGULAR,,
241231C004,HCI,1/1/2025,CDELC,DD8212RV,Maros,Sulawesi Selatan,,,Customer,12,7.63,9,,512878,,Maros,CDE,Internal,Sulawesi SelatanMarosCDE,DALAM KOTA,,1,REGULAR,,
241231C024,HCI,1/1/2025,CDELC,DD8256RV,Makassar,Sulawesi Selatan,,,Customer,7,6.8,4,408000,918811,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,NON REGULAR,,
241231C008,HCI,1/1/2025,CDELC,DD8987RG,Gowa,Sulawesi Selatan,,,Customer,10,3.61,10,154360,709704,,Gowa,CDE LONG CHASSIS,Internal,Sulawesi SelatanGowaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
241231C025,HCI,1/1/2025,CDELC,DD8336RV,Makassar,Sulawesi Selatan,,,Customer,5,8.0,5,,431644,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,NON REGULAR,,
250101C008,AHI,1/1/2025,PICKUP,DD8233RV,Makassar,Sulawesi Selatan,,,Customer,13,2.79,11,21500,451550,,Makassar,MINI VAN BOX,Internal,Sulawesi SelatanMakassarMINI VAN BOX,DALAM KOTA,,1,REGULAR,,
250101C002,HCI,1/1/2025,CDELC,DD8173RV,Makassar,Sulawesi Selatan,,,Customer,12,8.0,12,10500,442361,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,REGULAR,,
250101C004,HCI,1/1/2025,CDELC,A8609ZF,Gowa,Sulawesi Selatan,,,Customer,15,9.0,16,,571578,,Gowa,CDE LONG CHASSIS,Internal,Sulawesi SelatanGowaCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C170,HCI,1/1/2025,PICKUP,DD8199SJ,Makassar,Sulawesi Selatan,,,Customer,2,2.0,2,35000,413536,,Makassar,PICKUP,Internal,Sulawesi SelatanMakassarPICKUP,DALAM KOTA,,1,REGULAR,,
241231C270,HCI,1/1/2025,CDD,DD8632RG,Makassar,Sulawesi Selatan,,,Customer,5,13.0,1,49000,531294,,Makassar,CDD,Internal,Sulawesi SelatanMakassarCDD,DALAM KOTA,,1,REGULAR,,
241231C013,HCI,1/1/2025,PICKUP,DD8199SJ,Makassar,Sulawesi Selatan,,,Customer,7,3.0,7,,378536,,Makassar,PICKUP,Internal,Sulawesi SelatanMakassarPICKUP,DALAM KOTA,,1,REGULAR,,
241231C006,HCI,1/1/2025,CDELC,A8348VA,Makassar,Sulawesi Selatan,,,Customer,24,7.36,19,0,506644,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,REGULAR,,
250101C001,HCI,1/1/2025,CDELC,DD8336RV,Maros,Sulawesi Selatan,,,Customer,12,5.17,8,127000,558644,,Maros,CDE,Internal,Sulawesi SelatanMarosCDE,DALAM KOTA,,1,REGULAR,,
241227D018,AHI,1/1/2025,CDELC,A8550VX,Gowa,Sulawesi Selatan,,,Store,144,8.0,4,,331005,,Gowa,CDE,Internal,Sulawesi SelatanGowaCDE,DALAM KOTA,,1,REGULAR,,
241230D018,HCI,1/1/2025,CDD,DD8283SY,Makassar,Sulawesi Selatan,,,Store,86,13.0,2,,403572,,Makassar,CDD,Internal,Sulawesi SelatanMakassarCDD,DALAM KOTA,,1,REGULAR,,
241231T048,AHI,1/1/2025,CDELC,DD8337RV,Makassar,Sulawesi Selatan,,,Store,1,8.0,1,20000,357672,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,REGULAR,,
250101D037,AHI,1/1/2025,CDELC,DD8986RG,Makassar,Sulawesi Selatan,,,Store,181,10.0,5,,277672,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101T029,AHI,1/1/2025,CDD,DD8632RG,Makassar,Sulawesi Selatan,,,Store,194,13.0,1,,307089,,Makassar,CDD,Internal,Sulawesi SelatanMakassarCDD,Dalam Kota,,1,REGULAR,,
250102C012,HCI,1/2/2025,CDD,DD8283SY,Makassar,Sulawesi Selatan,,,Customer,41,11.44,29,,578778,,Makassar,CDD,Internal,Sulawesi SelatanMakassarCDD,DALAM KOTA,,1,REGULAR,,
241230C263,HCI,1/2/2025,CDELC,DD8212RV,Makassar,Sulawesi Selatan,,,Customer,4,3.02,4,93992,606870,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,REGULAR,,
250102C010,AHI,1/2/2025,CDELC,DD8633RG,Makassar,Sulawesi Selatan,,,Customer,23,4.63,23,24500,579844,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250102C182,HCI,1/2/2025,CDELC,DD8634RG,Maros,Sulawesi Selatan,,,Customer,4,9.2,5,4500,423222,,Maros,CDE LONG CHASSIS,Internal,Sulawesi SelatanMarosCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250102C075,HCI,1/2/2025,CDD,DD8632RG,Makassar,Sulawesi Selatan,,,Customer,5,12.7,2,,482294,,Makassar,CDD,Internal,Sulawesi SelatanMakassarCDD,DALAM KOTA,,1,NON REGULAR,,
241231C021,HCI,1/2/2025,CDELC,A8609ZF,Makassar,Sulawesi Selatan,,,Customer,3,4.07,4,282336,743330,,Makassar,CDE LONG CHASSIS,Internal,Sulawesi SelatanMakassarCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250102C008,HCI,1/2/2025,CDELC,DD8213RV,Makassar,Sulawesi Selatan,,,Customer,12,7.51,14,,431644,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,REGULAR,,
250102C014,HCI,1/2/2025,PICKUP,DD8797SZ,Makassar,Sulawesi Selatan,,,Customer,2,1.5,2,,389500,,Makassar,MINI VAN BOX,Internal,Sulawesi SelatanMakassarMINI VAN BOX,DALAM KOTA,,1,REGULAR,,
250102C187,HCI,1/2/2025,CDELC,DD8173RV,Gowa,Sulawesi Selatan,,,Customer,7,8.0,7,0,431861,,Gowa,CDE,Internal,Sulawesi SelatanGowaCDE,DALAM KOTA,,1,NON REGULAR,,
250102C197,AHI,1/2/2025,CDELC,DD8173RV,Makassar,Sulawesi Selatan,,,Customer,28,8.0,25,0,431861,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,REGULAR,,
250102C188,HCI,1/2/2025,PICKUP,DD8233RV,Takalar,Sulawesi Selatan,,,Customer,5,3.0,5,343000,719957,,Takalar,MINI VAN BOX,Internal,Sulawesi SelatanTakalarMINI VAN BOX,DALAM KOTA,,1,NON REGULAR,,
241231C019,HCI,1/2/2025,CDELC,DD8256RV,Makassar,Sulawesi Selatan,,,Customer,5,8.0,4,100000,530611,,Makassar,CDE,Internal,Sulawesi SelatanMakassarCDE,DALAM KOTA,,1,NON REGULAR,,
250102C006,HCI,1/2/2025,CDELC,DD8256RV,Gowa,Sulawesi Selatan,,,Customer,11,7.72,12,,430611,,Gowa,CDE,Internal,Sulawesi SelatanGowaCDE,DALAM KOTA,,1,REGULAR,,
