LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,Capacity Armada,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Gap Cost Int - Ext,% Saving,Month,Kategori,TAT,Prof Fee,Sewa Armada,Jarak,Key2,Value/CBM,Est Value Barang,C2S,OLF,Range OLF,BU REF,DriverId,Crew1Id,Day,Help Day,SLA Check In
260101D014,FBI,1/1/2026,PICKUP,BK8807MH,Medan,Sumatera Utara,Pertalite,6.18,Store,10,2.66,3,4,51000,435028,Sumatera,MEDAN,MINI VAN BOX,Internal,SumateraMEDANMINI VAN BOX,DALAM KOTA,,,,1,REGULAR,4:40:00,193440,190588,51,AHI|MEDAN|,24177323,64311679,0.68%,69.00%,50-70%,AHI,148369,0,Thursday,4,HIT
260101C043,HCI,1/1/2026,CDELC,BK8805MH,Medan,Sumatera Utara,Solar,8.82,Customer,11,7.44,10,9,70000,647468,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,7:49:00,386880,190588,56,HCI|MEDAN|,12356247,91930474,0.70%,69.00%,50-70%,HCI,E01818,E00643,Thursday,4,HIT
260101C050,HCI,1/1/2026,CDELC,BK8806MH,Medan,Sumatera Utara,Solar,6.62,Customer,5,4.29,10,6,51000,628468,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,7:00:00,386880,190588,58,HCI|MEDAN|,12356247,53008297,1.19%,69.00%,50-70%,HCI,138843,E06254,Thursday,4,HIT
260101C042,HCI,1/1/2026,CDELC,BK8075MQ,Medan,Sumatera Utara,Solar,3.82,Customer,11,2.9,10,4,26000,431325,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,12:11:00,193440,211885,32,HCI|MEDAN|,12356247,35833115,1.20%,69.00%,50-70%,HCI,E02089,E05118,Thursday,4,HIT
260101C039,HCI,1/1/2026,CDELC,BK8871MS,Medan,Sumatera Utara,Solar,11.03,Customer,18,4.22,10,7,119500,612940,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,2:02:00,193440,300000,67,HCI|MEDAN|,12356247,52143360,1.18%,69.00%,50-70%,HCI,E01259,,Thursday,4,HIT
260101C045,HCI,1/1/2026,CDELC,BK8009MI,Medan,Sumatera Utara,Solar,8.82,Customer,6,4.55,10,3,60000,404937,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,3:08:00,193440,151497,55,HCI|MEDAN|,12356247,56220922,0.72%,69.00%,50-70%,HCI,E06136,,Thursday,4,HIT
260101C053,HCI,1/1/2026,PICKUP,BK8633MS,Medan,Sumatera Utara,Pertalite,6.1,Customer,3,3.0,3,3,71000,545441,Sumatera,MEDAN,PICKUP,Internal,SumateraMEDANPICKUP,DALAM KOTA,,,,1,REGULAR,5:31:00,386880,87561,64,HCI|MEDAN|,12356247,37068740,1.47%,69.00%,50-70%,HCI,E01257,E05263,Thursday,4,HIT
260101C046,HCI,1/1/2026,CDELC,BK8099LM,Binjai,Sumatera Utara,Solar,13.24,Customer,11,2.02,10,9,135000,697980,Sumatera,BINJAI,CDE,Internal,SumateraBINJAICDE,DALAM KOTA,,,,1,REGULAR,7:28:00,386880,176100,105,HCI|MEDAN|,12356247,24959618,2.80%,69.00%,50-70%,HCI,E01001,E06182,Thursday,4,HIT
260101C038,HCI,1/1/2026,CDELC,BK8647MS,Medan,Sumatera Utara,Solar,13.24,Customer,12,1.54,10,10,99500,778747,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,8:50:00,386880,292367,89,HCI|MEDAN|,12356247,19028620,4.09%,69.00%,50-70%,HCI,E01743,E06196,Thursday,4,HIT
260101C048,HCI,1/1/2026,CDELC,BK8172LM,Medan,Sumatera Utara,Solar,11.76,Customer,6,1.54,10,7,99000,637377,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,8:16:00,386880,151497,86,HCI|MEDAN|,12356247,19028620,3.35%,69.00%,50-70%,HCI,E02455,E01752,Thursday,4,HIT
260101D013,FBI,1/1/2026,PICKUP,BK8136LM,Deli Serdang,Sumatera Utara,Pertalite,6.5,Store,10,2.93,3,4,83500,365135,Sumatera,DELI SERDANG,MINI VAN BOX,Internal,SumateraDELI SERDANGMINI VAN BOX,DALAM KOTA,,,,1,REGULAR,3:44:00,193440,88195,73,AHI|MEDAN|,24177323,70839556,0.52%,69.00%,50-70%,AHI,E05148,0,Thursday,4,HIT
260101C044,HCI,1/1/2026,CDELC,BK8191MQ,Medan,Sumatera Utara,Solar,7.35,Customer,3,5.93,10,3,50000,455325,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,6:41:00,193440,211885,68,HCI|MEDAN|,12356247,73272542,0.62%,69.00%,50-70%,HCI,E02089,E05118,Thursday,4,HIT
260101X001,HCI,1/1/2026,CDELC,BK8646MS,Medan,Sumatera Utara,Solar,5.88,Other Delivery,2,2.2,11,2,60000,545807,Sumatera,MEDAN,CDE LONG CHASSIS,Internal,SumateraMEDANCDE LONG CHASSIS,DALAM KOTA,,,,1,REGULAR,7:06:00,193440,292367,38,HCI|MEDAN|,12356247,27183742,2.01%,69.00%,50-70%,HCI,E05633,0,Thursday,4,HIT
260102C064,HCI,1/2/2026,CDELC,BK8807MH,Medan,Sumatera Utara,Solar,8.09,Customer,37,10.0,10,13,60000,637468,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,8:26:00,386880,190588,52,HCI|MEDAN|,12356247,123562465,0.52%,69.00%,50-70%,HCI,E01259,E02439,Friday,5,HIT
260102C074,HCI,1/2/2026,CDELC,BK8803MH,Medan,Sumatera Utara,Solar,18.09,Customer,18,10.0,10,13,134500,711968,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,9:48:00,386880,190588,129,HCI|MEDAN|,12356247,123562465,0.58%,69.00%,50-70%,HCI,E02089,E05263,Friday,5,HIT
260102C085,HCI,1/2/2026,CDELC,BK8047MQ,Medan,Sumatera Utara,Solar,5.29,Customer,7,7.81,10,5,42000,244663,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,2:47:00,96720,105943,35,HCI|MEDAN|,12356247,96502285,0.25%,69.00%,50-70%,HCI,E02822,,Friday,5,HIT
260102D035,FBI,1/2/2026,PICKUP,A8330VX,Medan,Sumatera Utara,Pertalite,8,Store,14,2.56,3,6,103500,381107,Sumatera,MEDAN,MINI VAN BOX,Internal,SumateraMEDANMINI VAN BOX,DALAM KOTA,,,,1,REGULAR,12:01:00,193440,84167,73,AHI|MEDAN|,24177323,61893947,0.62%,69.00%,50-70%,AHI,148369,0,Friday,5,HIT
260102C066,HCI,1/2/2026,CDELC,BK8141LM,Medan,Sumatera Utara,Solar,12.5,Customer,12,8.68,10,8,85000,622974,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,6:26:00,386880,151094,83,HCI|MEDAN|,12356247,107252220,0.58%,69.00%,50-70%,HCI,E02455,E01756,Friday,5,HIT
260102C073,HCI,1/2/2026,CDELC,BK8073MQ,Medan,Sumatera Utara,Solar,15.44,Customer,19,8.35,10,13,151000,749765,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,8:32:00,386880,211885,110,HCI|MEDAN|,12356247,103174658,0.73%,69.00%,50-70%,HCI,E01001,E05633,Friday,5,HIT
260102C072,HCI,1/2/2026,CDELC,BK8009MI,Medan,Sumatera Utara,Solar,11.03,Customer,5,3.38,10,4,93500,341717,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,6:44:00,96720,151497,91,HCI|MEDAN|,12356247,41764113,0.82%,69.00%,50-70%,HCI,E05148,,Friday,5,HIT
260102C001,HCI,1/2/2026,CDELC,BK8299MH,Medan,Sumatera Utara,Solar,13.97,Customer,21,3.27,10,12,119500,657877,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,9:30:00,386880,151497,97,HCI|MEDAN|,12356247,40404926,1.63%,69.00%,50-70%,HCI,E01752,E00283,Friday,5,HIT
260102C061,HCI,1/2/2026,CDELC,BK8075MQ,Medan,Sumatera Utara,Solar,7.35,Customer,21,5.02,10,13,90000,688765,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,8:23:00,386880,211885,64,HCI|MEDAN|,12356247,62028357,1.11%,69.00%,50-70%,HCI,E01080,E06196,Friday,5,HIT
260102D034,FBI,1/2/2026,PICKUP,BK8136LM,Medan,Sumatera Utara,Pertalite,9,Store,8,2.98,3,4,136500,321415,Sumatera,MEDAN,MINI VAN BOX,Internal,SumateraMEDANMINI VAN BOX,DALAM KOTA,,,,1,REGULAR,6:37:00,96720,88195,108,AHI|MEDAN|,24177323,72048423,0.45%,69.00%,50-70%,AHI,E02822,0,Friday,5,HIT
260102C082,HCI,1/2/2026,PICKUP,BK8696MS,Medan,Sumatera Utara,Pertalite,10.3,Customer,6,3.0,3,6,153500,640913,Sumatera,MEDAN,PICKUP,Internal,SumateraMEDANPICKUP,DALAM KOTA,,,,1,REGULAR,9:51:00,386880,100533,117,HCI|MEDAN|,12356247,37068740,1.73%,69.00%,50-70%,HCI,E02348,E01125,Friday,5,HIT
260102C067,HCI,1/2/2026,CDELC,BK8191MQ,Medan,Sumatera Utara,Solar,6.62,Customer,7,3.07,10,6,45000,547045,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,3:47:00,290160,211885,46,HCI|MEDAN|,12356247,37933677,1.44%,69.00%,50-70%,HCI,E05148,E01257,Friday,5,HIT
260102H012,HCI,1/2/2026,CDELC,BK8074MQ,Pematangsiantar,Sumatera Utara,Solar,27.21,HUB,19,10.0,10,1,401000,806325,Sumatera,PEMATANGSIANTAR,CDE,Internal,SumateraPEMATANGSIANTARCDE,LUAR KOTA,1300000,-493675,-37.98%,1,REGULAR,9:44:00,193440,211885,232,HCI|MEDAN|,12356247,123562465,0.65%,69.00%,50-70%,HCI,129159,0,Friday,5,HIT
260102L032,AHI,1/2/2026,CDELC,BK8192MQ,Pematangsiantar,Sumatera Utara,Solar,30.59,Store,1,5.0,10,1,424000,829325,Sumatera,PEMATANGSIANTAR,CDE,Internal,SumateraPEMATANGSIANTARCDE,LUAR KOTA,1300000,-470675,-36.21%,1,REGULAR,7:35:00,193440,211885,240,AHI|MEDAN|,24177323,120886615,0.69%,69.00%,50-70%,AHI,E05862,0,Friday,5,HIT
260102C079,HCI,1/2/2026,CDELC,BK8172LM,Deli Serdang,Sumatera Utara,Solar,19.85,Customer,9,6.01,10,9,218000,756377,Sumatera,DELI SERDANG,CDE,Internal,SumateraDELI SERDANGCDE,DALAM KOTA,,,,1,REGULAR,9:06:00,386880,151497,151,HCI|MEDAN|,12356247,74261041,1.02%,69.00%,50-70%,HCI,E05447,E05420,Friday,5,HIT
260102D029,AHI,1/2/2026,FUSO,BK8815MG,Medan,Sumatera Utara,Solar,12.5,Store,60,30.26,34,1,260000,807398,Sumatera,MEDAN,FUSO,Internal,SumateraMEDANFUSO,DALAM KOTA,,,,1,REGULAR,8:14:00,193440,353958,48,AHI|MEDAN|,24177323,731605794,0.11%,69.00%,50-70%,AHI,138843,,Friday,5,HIT
260102C083,HCI,1/2/2026,CDELC,BK8646MS,Medan,Sumatera Utara,Solar,8.82,Customer,3,10.0,10,2,91000,624063,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,6:42:00,386880,146183,62,HCI|MEDAN|,12356247,123562465,0.51%,69.00%,50-70%,HCI,E03421,E03420,Friday,5,HIT
260102C078,HCI,1/2/2026,CDELC,BK8646MS,Medan,Sumatera Utara,Solar,8.09,Customer,14,4.34,10,8,55000,491343,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,5:25:00,290160,146183,59,HCI|MEDAN|,12356247,53626110,0.92%,69.00%,50-70%,HCI,E01257,E05233,Friday,5,HIT
260102C077,HCI,1/2/2026,CDELC,BK8805MH,Medan,Sumatera Utara,Solar,10.29,Customer,10,5.56,10,8,74500,458528,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,5:46:00,193440,190588,59,HCI|MEDAN|,12356247,68700731,0.67%,69.00%,50-70%,HCI,E01743,E01119,Friday,5,HIT
260102C084,HCI,1/2/2026,CDELC,BK8647MS,Medan,Sumatera Utara,Solar,5.15,Customer,7,7.83,10,1,35000,714247,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,4:07:00,386880,292367,35,HCI|MEDAN|,12356247,96749410,0.74%,69.00%,50-70%,HCI,E01756,E02455,Friday,5,HIT
260102D039,AHI,1/2/2026,CDELC,BK8047MQ,Medan,Sumatera Utara,Solar,5.15,Store,14,8.14,10,1,45000,247663,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,7:44:00,96720,105943,35,AHI|MEDAN|,24177323,196803409,0.13%,69.00%,50-70%,AHI,E01083,,Friday,5,HIT
260102C070,HCI,1/2/2026,CDELC,BK8031LM,Medan,Sumatera Utara,Solar,9.56,Customer,5,6.56,10,5,91500,532754,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,5:38:00,290160,151094,77,HCI|MEDAN|,12356247,81056977,0.66%,69.00%,50-70%,HCI,E01083,138843,Friday,5,HIT
260102D036,AHI,1/2/2026,CDELC,BK8804MH,Medan,Sumatera Utara,Solar,7.35,Store,67,10.0,10,1,80000,464028,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,9:07:00,193440,190588,50,AHI|MEDAN|,24177323,241773230,0.19%,69.00%,50-70%,AHI,E00289,,Friday,5,HIT
260102C076,HCI,1/2/2026,CDELC,BK8871MS,Medan,Sumatera Utara,Solar,7.35,Customer,17,6.28,10,13,55000,741880,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,3:33:00,386880,300000,49,HCI|MEDAN|,12356247,77597228,0.96%,69.00%,50-70%,HCI,E03420,E03421,Friday,5,HIT
260102C090,HCI,1/2/2026,PICKUP,BK8633MS,Medan,Sumatera Utara,Pertalite,4.1,Customer,5,3.0,3,2,41000,322001,Sumatera,MEDAN,PICKUP,Internal,SumateraMEDANPICKUP,DALAM KOTA,,,,1,REGULAR,2:00:00,193440,87561,51,HCI|MEDAN|,12356247,37068740,0.87%,69.00%,50-70%,HCI,E01743,E01119,Friday,5,HIT
260102C071,HCI,1/2/2026,CDELC,BK8099LM,Binjai,Sumatera Utara,Solar,29.41,Customer,11,4.23,10,10,367500,930480,Sumatera,BINJAI,CDE,Internal,SumateraBINJAICDE,DALAM KOTA,,,,1,REGULAR,10:16:00,386880,176100,244,HCI|MEDAN|,12356247,52266923,1.78%,69.00%,50-70%,HCI,E02091,E05118,Friday,5,HIT
260102D027,AHI,1/2/2026,CDELC,BK8146LM,Medan,Sumatera Utara,Solar,8.82,Store,45,9.27,10,1,60000,404937,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,7:01:00,193440,151497,31,AHI|MEDAN|,24177323,224123784,0.18%,69.00%,50-70%,AHI,E00134,,Friday,5,HIT
260102C068,HCI,1/2/2026,CDELC,BK8806MH,Medan,Sumatera Utara,Solar,10.29,Customer,13,6.86,10,9,70000,550748,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,6:26:00,290160,190588,86,HCI|MEDAN|,12356247,84763851,0.65%,69.00%,50-70%,HCI,E03972,E05233,Friday,5,HIT
260102C063,HCI,1/2/2026,CDELC,BK8309MS,Medan,Sumatera Utara,Solar,10.15,Customer,20,7.01,10,12,73000,745513,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,8:34:00,386880,285633,69,HCI|MEDAN|,12356247,86617288,0.86%,69.00%,50-70%,HCI,E01818,E06136,Friday,5,HIT
260102D031,AHI,1/2/2026,CDELC,BK8022LM,Medan,Sumatera Utara,Solar,4.85,Store,51,6.79,10,1,40000,287814,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,2:16:00,96720,151094,40,AHI|MEDAN|,24177323,164164023,0.18%,69.00%,50-70%,AHI,E03863,,Friday,5,HIT
260102C065,HCI,1/2/2026,CDELC,BK8135LM,Medan,Sumatera Utara,Solar,7.35,Customer,7,5.52,10,7,55000,303217,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,4:42:00,96720,151497,57,HCI|MEDAN|,12356247,68206481,0.44%,69.00%,50-70%,HCI,E03863,,Friday,5,HIT
260103C065,HCI,1/3/2026,CDELC,BK8075MQ,Medan,Sumatera Utara,Solar,13.24,Customer,15,8.9,10,11,103000,402383,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,18:21:00,193440,105943,100,HCI|MEDAN|,12356247,109970594,0.37%,69.00%,50-70%,HCI,E01080,E05420,Saturday,6,HIT
260103C052,HCI,1/3/2026,CDELC,BK8647MS,Medan,Sumatera Utara,Solar,14.71,Customer,30,10.0,10,10,130000,809247,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,9:23:00,386880,292367,99,HCI|MEDAN|,12356247,123562465,0.65%,69.00%,50-70%,HCI,E01743,E05633,Saturday,6,HIT
260103C069,HCI,1/3/2026,CDELC,BK8022LM,Deli Serdang,Sumatera Utara,Solar,12.5,Customer,7,3.52,10,5,137000,481534,Sumatera,DELI SERDANG,CDE,Internal,SumateraDELI SERDANGCDE,DALAM KOTA,,,,1,REGULAR,5:30:00,193440,151094,112,HCI|MEDAN|,12356247,43493988,1.11%,69.00%,50-70%,HCI,E03863,E05263,Saturday,6,HIT
260103C070,HCI,1/3/2026,PICKUP,BK8633MS,Medan,Sumatera Utara,Pertalite,8.1,Customer,7,3.0,3,6,95000,332221,Sumatera,MEDAN,PICKUP,Internal,SumateraMEDANPICKUP,DALAM KOTA,,,,1,REGULAR,7:23:00,193440,43781,89,HCI|MEDAN|,12356247,37068740,0.90%,69.00%,50-70%,HCI,E01119,E02348,Saturday,6,HIT
260103L024,HCI,1/3/2026,CDELC,BK8112LM,Medan,Sumatera Utara,Solar,5.88,Store,3,6.09,10,1,40000,308987,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,3:05:00,193440,75547,40,HCI|MEDAN|,12356247,75249541,0.41%,69.00%,50-70%,HCI,E03863,E05263,Saturday,6,HIT
260103C066,HCI,1/3/2026,CDELC,BK8146LM,Medan,Sumatera Utara,Solar,9.56,Customer,16,5.93,10,13,70000,339189,Sumatera,MEDAN,CDE,Internal,SumateraMEDANCDE,DALAM KOTA,,,,1,REGULAR,6:40:00,193440,75749,63,HCI|MEDAN|,12356247,73272542,0.46%,69.00%,50-70%,HCI,E00134,E05233,Saturday,6,HIT
