LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250104C184,HCI,4-Jan-2025,CDELC,BK8047MQ,Medan,Sumatera Utara,,,Customer,1,7.41,12,60000,282683.34,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250104L004,HCI,4-Jan-2025,CDELC,BK8047MQ,Medan,Sumatera Utara,,,Store,6,7.32,13,64500,351042.5,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250109L050,HCI,9-Jan-2025,CDELC,BK8009MI,Medan,Sumatera Utara,,,Store,13,7.65,10,85000,407033.34,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250106C197,HCI,6-Jan-2025,CDELC,BK8806MH,Medan,Sumatera Utara,,,Customer,11,7.69,11,87000,441716.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250103C187,HCI,3-Jan-2025,CDELC,BK8803MH,Medan,Sumatera Utara,,,Customer,15,8.44,14,100000,536866.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250107L057,HCI,7-Jan-2025,CDELC,BK8073MQ,Medan,Sumatera Utara,,,Store,7,7.46,7,52000,501250.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250103L049,HCI,3-Jan-2025,CDELC,BK8309MS,Serdang Bedagai,Sumatera Utara,,,Store,2,7.47,11,453000,1099833.33,,Serdang Bedagai,CDE,Internal,Sumatera UtaraSerdang BedagaiCDE,DALAM KOTA,,1,REGULAR,,
250106C194,HCI,6-Jan-2025,CDELC,A8471ZX,Medan,Sumatera Utara,,,Customer,92,7.91,7,50000,492650.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250109L048,HCI,9-Jan-2025,CDELC,BK8075MQ,Medan,Sumatera Utara,,,Store,28,8.55,14,92000,548033.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
250105L055,HCI,5-Jan-2025,CDELC,BK8075MQ,Medan,Sumatera Utara,,,Store,12,8.38,9,100000,689033.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,1,REGULAR,,
