LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,Capacity Armada,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250101D047,HCI,1/1/2025,CONT-40,A8086VB,Bekasi,Jabodetabek,,,Store,1,50.0,,1,550964,1306997,,Bekasi,CONT-40,Internal,JabodetabekBekasiCONT-40,DALAM KOTA,,1,REGULAR,,
250101H047,HCI,1/1/2025,FUSO,A8495YX,Bogor,Jabodetabek,,,HUB,19,6.21,,2,454528,1025086,,Bogor,FUSO,Internal,JabodetabekBogorFUSO,DALAM KOTA,,1,REGULAR,,
250101H013,HCI,1/1/2025,FUSO,A8625YX,Bogor,Jabodetabek,,,HUB,100,33.69,,9,451264,1021822,,Bogor,FUSO,Internal,JabodetabekBogorFUSO,DALAM KOTA,,1,REGULAR,,
250101C135,HCI,1/1/2025,CDELC,A8359ZA,Pandeglang,Banten,,,Customer,2,0.88,,1,402448,1005621,,Pandeglang,CDE LONG CHASSIS,Internal,BantenPandeglangCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C150,HCI,1/1/2025,CDELC,A8075YX,Bekasi,Jabodetabek,,,Customer,7,3.89,,7,380852,969424,,Bekasi,CDE LONG CHASSIS,Internal,JabodetabekBekasiCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C050,HCI,1/1/2025,CDDLC,A8909XY,Cilegon,Banten,,,Customer,26,9.75,,12,350204,971543,,Cilegon,CDD LONG CHASSIS,Internal,BantenCilegonCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C032,HCI,1/1/2025,CDELC,A8074YX,Bogor,Jabodetabek,,,Customer,19,6.07,,13,349348,937920,,Bogor,CDE LONG CHASSIS,Internal,JabodetabekBogorCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101D018,HCI,1/1/2025,CDDLC,A8977XA,Bekasi,Jabodetabek,,,Store,52,10.14,,4,346808,752105,,Bekasi,CDD LONG CHASSIS,Internal,JabodetabekBekasiCDD LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C192,HCI,1/1/2025,CDELC,A8760VB,Bogor,Jabodetabek,,,Customer,9,2.13,,8,346636,935086,,Bogor,CDE LONG CHASSIS,Internal,JabodetabekBogorCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C026,HCI,1/1/2025,CDELC,A8502ZH,Bekasi,Jabodetabek,,,Customer,18,4.63,,15,346392,997677,,Bekasi,CDE LONG CHASSIS,Internal,JabodetabekBekasiCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C033,HCI,1/1/2025,CDELC,A8522XZ,Bogor,Jabodetabek,,,Customer,8,2.26,,8,342428,928923,,Bogor,CDE LONG CHASSIS,Internal,JabodetabekBogorCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C122,HCI,1/1/2025,CDELC,B9017SCF,Jakarta Selatan,Jabodetabek,,,Customer,8,1.98,,6,336908,952574,,Jakarta Selatan,CDE LONG CHASSIS,Internal,JabodetabekJakarta SelatanCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101D019,HCI,1/1/2025,CDELC,A8767ZA,Jakarta Timur,Jabodetabek,,,Store,78,9.84,,6,335484,715857,,Jakarta Timur,CDE LONG CHASSIS,Internal,JabodetabekJakarta TimurCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101D046,HCI,1/1/2025,WINGBOX,A8120VB,Serang,Banten,,,Store,2,32.0,,2,306504,1130871,,Serang,WINGBOX,Internal,BantenSerangWINGBOX,DALAM KOTA,,1,REGULAR,,
250101C047,HCI,1/1/2025,CDELC,A8471YX,Serang,Banten,,,Customer,9,3.87,,7,297720,886292,,Serang,CDE LONG CHASSIS,Internal,BantenSerangCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C049,HCI,1/1/2025,CDELC,A8541ZH,Depok,Jabodetabek,,,Customer,5,6.46,,6,284468,832911,,Depok,CDE,Internal,JabodetabekDepokCDE,DALAM KOTA,,1,REGULAR,,
