LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,Capacity Armada,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250101C168,HCI,1/1/2025,CDELC,A8048ZX,Bekasi,Jabodetabek,,,Customer,26,8.83,,7,107912,768371,,Bekasi,CDE LONG CHASSIS,Internal,JabodetabekBekasiCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C117,HCI,1/1/2025,CDELC,A8050ZX,Depok,Jabodetabek,,,Customer,3,1.37,,3,270792.0,907979,,Depok,CDE LONG CHASSIS,Internal,JabodetabekDepokCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250101C022,HCI,1/1/2025,CONT-40,A8062VB,Tangerang,Jabodetabek,,,HUB,54,52.0,,3,684652.0,1460245,,Tangerang,CONT-40,Internal,JabodetabekTangerangCONT-40,DALAM KOTA,,1,REGULAR,,
250101H007,HCI,1/1/2025,CONT-40,A8063VB,Tangerang,Jabodetabek,,,HUB,69,52.0,,3,707872.0,1483465,,Tangerang,CONT-40,Internal,JabodetabekTangerangCONT-40,DALAM KOTA,,1,REGULAR,,
250101D005,HCI,1/1/2025,CDELC,A8076ZH,Jakarta Selatan,Jabodetabek,,,Store,9,10.0,,1,260294.0,723821,,Jakarta Selatan,CDE LONG CHASSIS,Internal,JabodetabekJakarta SelatanCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250101C118,HCI,1/1/2025,CDELC,A8078ZH,Jakarta Timur,Jabodetabek,,,Customer,7,4.63,,1,335282.0,1041169,,Jakarta Timur,CDE LONG CHASSIS,Internal,JabodetabekJakarta TimurCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250101C067,HCI,1/1/2025,CDELC,A8145ZH,Bogor,Jabodetabek,,,Customer,9,8.82,,8,382328.0,1088215,,Bogor,CDE LONG CHASSIS,Internal,JabodetabekBogorCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C116,HCI,1/1/2025,CDELC,A8146ZH,Jakarta Selatan,Jabodetabek,,,Customer,5,5.64,,5,211392.0,917279,,Jakarta Selatan,CDE LONG CHASSIS,Internal,JabodetabekJakarta SelatanCDE LONG CHASSIS,DALAM KOTA,,1,NON REGULAR,,
250101C111,HCI,1/1/2025,CDELC,A8150ZH,Bekasi,Jabodetabek,,,Customer,3,8.23,,3,215748,921635,,Bekasi,CDE LONG CHASSIS,Internal,JabodetabekBekasiCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101D027,HCI,1/1/2025,CDELC,A8159ZC,Tangerang,Jabodetabek,,,Store,24,5.18,,2,329038.0,754265,,Tangerang,CDE LONG CHASSIS,Internal,JabodetabekTangerangCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101D036,HCI,1/1/2025,CDELC,A8182ZV,Jakarta Selatan,Jabodetabek,,,Store,50,8.78,,1,182876.0,676069,,Jakarta Selatan,CDE LONG CHASSIS,Internal,JabodetabekJakarta SelatanCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
250101C068,HCI,1/1/2025,CDELC,A8185ZV,Bogor,Jabodetabek,,,Customer,23,9.71,,10,411248.0,1146801,,Bogor,CDE LONG CHASSIS,Internal,JabodetabekBogorCDE LONG CHASSIS,DALAM KOTA,,1,REGULAR,,
