LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,Capacity Armada,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250102D008,KLS,1/2/2025,CDELC,A8434WX,Jakarta,Jabodetabek,,,Store,12,8.0,,10,128500,745094,,Jakarta,CDELC,,,,,1,REGULAR,,
250102D001,KLS,1/2/2025,CDELC,A8046ZX,Bekasi,Jabodetabek,,,Store,12,0.96,,8,131020,768207,,Bekasi,CDELC,,,,,1,REGULAR,,
250102C007,KLS,1/2/2025,CDELC,A8048ZX,Cikarang,Jabodetabek,,,Customer,4,0.49,,4,54604,691791,,Cikarang,CDELC,,,,,1,REGULAR,,
250102C003,KLS,1/2/2025,PICKUP,B9320SCE,Jakarta,Jabodetabek,,,Customer,5,1.12,,4,194200,765060,,Jakarta,PICKUP,,,,,1,REGULAR,,
250102D003,KLS,1/2/2025,PICKUP,B9642SCE,Bogor,Jabodetabek,,,Store,6,0.8,,5,335600,913087,,Bogor,PICKUP,,,,,1,REGULAR,,
250102C002,KLS,1/2/2025,CDELC,A8098ZH,Purwakarta,Jawa Barat,,,Customer,12,0.55,,6,213748,919635,,Purwakarta,CDELC,,,,,1,REGULAR,,
250102D014,KLS,1/2/2025,CDELC,A8537ZF,Tangerang,Jabodetabek,,,Store,11,0.53,,9,184500,779820,,Tangerang,CDELC,,,,,1,REGULAR,,
250102D009,KLS,1/2/2025,CDELC,A8721VB,Jakarta,Jabodetabek,,,Store,10,11.0,,9,148000,918420,,Jakarta,CDELC,,,,,1,REGULAR,,
250102D007,KLS,1/2/2025,CDELC,A8816YX,Jakarta,Jabodetabek,,,Store,9,2.83,,6,114500,678187,,Jakarta,CDELC,,,,,1,REGULAR,,
250102D004,KLS,1/2/2025,CDELC,A8002XW,Cikarang,Jabodetabek,,,Store,8,11.0,,7,122992,760179,,Cikarang,CDELC,,,,,1,REGULAR,,
250102D015,KLS,1/2/2025,CDELC,A8757VB,Tangerang,Jabodetabek,,,Store,9,0.59,,7,179000,949420,,Tangerang,CDELC,,,,,1,REGULAR,,
250102D006,KLS,1/2/2025,CDELC,A8503ZX,Depok,Jabodetabek,,,Store,9,0.41,,6,323216,960403,,Depok,CDELC,,,,,1,REGULAR,,
250102D013,KLS,1/2/2025,CDELC,A8481ZH,Tangerang,Jabodetabek,,,Store,8,0.56,,7,185500,891387,,Tangerang,CDELC,,,,,1,REGULAR,,
250102D011,KLS,1/2/2025,CDELC,A8382WX,Jakarta,Jabodetabek,,,Store,5,8.0,,9,103500,720094,,Jakarta,CDELC,,,,,1,REGULAR,,
250101L001,KLS,1/2/2025,CDDLC,A8976XY,Bandung,Jawa Barat,,,Store,1,16.0,,1,835500,1266827,,Bandung,CDDLC,,,,,1,REGULAR,,
250101L005,KLS,1/2/2025,CDELC,A8432ZS,Sukabumi,Jawa Barat,,,Store,10,1.01,,1,501686,1001096,,Sukabumi,CDELC,,,,,1,REGULAR,,
250102C004,KLS,1/2/2025,PICKUP,A8236VX,Bogor,Jabodetabek,,,Customer,4,0.31,,3,194800,515435,,Bogor,PICKUP,,,,,1,REGULAR,,
250102D002,KLS,1/2/2025,PICKUP,A8001XW,Bogor,Jabodetabek,,,Store,7,0.52,,6,207500,523960,,Bogor,PICKUP,,,,,1,REGULAR,,
250102D010,KLS,1/2/2025,PICKUP,A8553VB,Jakarta,Jabodetabek,,,Store,7,5.0,,7,163000,536760,,Jakarta,PICKUP,,,,,1,REGULAR,,
250102D012,KLS,1/2/2025,PICKUP,A8876ZX,Jakarta,Jabodetabek,,,Store,8,0.48,,6,163700,468136,,Jakarta,PICKUP,,,,,1,REGULAR,,
250102D005,KLS,1/2/2025,CDELC,A8759VB,Serang,Banten,,,Store,,11.0,,6,317000,1087420,,Serang,CDELC,,,,,1,REGULAR,,
250103C010,KLS,1/3/2025,CDELC,A8481ZH,Tangerang,Jabodetabek,,,Customer,9,1.03,,4,160000,865887,,Tangerang,CDELC,,,,,1,REGULAR,,
